#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2018-07-27 01:35:47
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-07-27 01:35:46 W3SVC1536 JASMINE 143.95.251.7 GET / - 80 - 46.229.170.193 Mozilla/5.0+(compatible;+Linux+x86_64;+Meta_Bot/1.1) - lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2661 148 515
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2018-07-27 02:00:08
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-07-27 02:00:08 W3SVC1536 JASMINE 143.95.251.7 GET / - 80 - 180.76.15.162 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 1253 245 390
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2018-07-27 02:35:33
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-07-27 02:35:33 W3SVC1536 JASMINE 143.95.251.7 GET /index.html - 80 - 40.77.167.141 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2739 308 140
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2018-07-27 03:52:56
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-07-27 03:52:56 W3SVC1536 JASMINE 143.95.251.7 GET /robots.txt - 80 - 40.77.167.141 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - lighthallbadminton.co.uk.jasmine.arvixe.com 404 0 2 1405 276 156
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2018-07-27 12:30:42
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-07-27 12:30:41 W3SVC1536 JASMINE 143.95.251.7 GET /index.html - 80 - 2.122.26.82 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.62+Safari/537.36 http://www.lighthallbadminton.co.uk/ lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2739 502 390
