#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-01-03 09:46:21
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-01-03 09:46:21 W3SVC1536 JASMINE 143.95.251.7 GET /index.html - 80 - 144.76.222.78 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:41.0)+Gecko/20100101+Firefox/41.0 http://www.lighthallbadminton.co.uk/ lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2823 289 218
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-01-03 10:24:08
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-01-03 10:24:07 W3SVC1536 JASMINE 143.95.251.7 GET /index.html - 80 - 80.192.98.81 Mozilla/5.0+(Linux;+Android+9;+I3113)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/79.0.3945.93+Mobile+Safari/537.36 http://www.lighthallbadminton.co.uk/ lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2823 530 234
2020-01-03 10:24:07 W3SVC1536 JASMINE 143.95.251.7 GET /style.css - 80 - 80.192.98.81 Mozilla/5.0+(Linux;+Android+9;+I3113)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/79.0.3945.93+Mobile+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 754 418 156
2020-01-03 10:24:09 W3SVC1536 JASMINE 143.95.251.7 GET /Images/Facebook.png - 80 - 80.192.98.81 Mozilla/5.0+(Linux;+Android+9;+I3113)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/79.0.3945.93+Mobile+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2400 449 140
2020-01-03 10:24:09 W3SVC1536 JASMINE 143.95.251.7 GET /Images/badminton_photo2.jpg - 80 - 80.192.98.81 Mozilla/5.0+(Linux;+Android+9;+I3113)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/79.0.3945.93+Mobile+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 77893 457 749
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2020-01-03 20:35:07
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2020-01-03 20:35:07 W3SVC1536 JASMINE 143.95.251.7 GET /index.html - 80 - 90.204.127.44 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/79.0.3945.88+Safari/537.36 http://www.lighthallbadminton.co.uk/ lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2823 519 203
2020-01-03 20:35:07 W3SVC1536 JASMINE 143.95.251.7 GET /style.css - 80 - 90.204.127.44 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/79.0.3945.88+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 754 407 124
2020-01-03 20:35:08 W3SVC1536 JASMINE 143.95.251.7 GET /Images/Facebook.png - 80 - 90.204.127.44 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/79.0.3945.88+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2400 438 140
2020-01-03 20:35:08 W3SVC1536 JASMINE 143.95.251.7 GET /Images/badminton_photo2.jpg - 80 - 90.204.127.44 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/79.0.3945.88+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 77893 446 656
